,item_skey,item_number,item_description,item_category
1800,10974,1098209,Cefuroxime Sodium (200 mg),Active Pharmaceutical Ingredients
1801,9808,1021204,4-Aminophenol (100 mg),Impurity
1802,11910,1134404,Clavam-2-carboxylate Potassium (2 mg),Impurity
1803,14205,1248006,Erythromycin Stearate (200 mg),Active Pharmaceutical Ingredients
1804,9861,1441298,Metoprolol Succinate (200 mg),Active Pharmaceutical Ingredients
1805,2787,1097614,Cefdinir (300 mg),Active Pharmaceutical Ingredients
1806,16556,1695343,Triphenylmethanol (50 mg),Non-Compendial
1807,12928,1096688,Carvedilol System Suitability Mixture (25 mg) (carvedilol spiked with carvedilol related compound F),System Suitability
1808,12026,1706698,Urea (200 mg),Impurity
1809,15927,1279019,"Fluorouracil Related Compound A (25 mg) (Pyrimidine-2,4,6(1H,3H,5H)-trione)",Impurity
1810,8012,1672610,"Tramadol Related Compound A CIV (25 mg) ((RS,SR)-1-(3-Methoxyphenyl)-2-(dimethylaminomethyl)cyclohexanol hydrochloride)",Impurity
1811,13382,1377029,Meclizine Related Compound B (15 mg) (1-[(4-Chlorophenyl)(phenyl)methyl]-4-(2-methylbenzyl)piperazine dihydrochloride monohydrate),Impurity
1812,12213,1368610,"Lisinopril Related Compound A (250 mg) ((S)-2-{(3S,8aS)-3-(4-aminobutyl)-1,4-dioxohexahydropyrrolo[1,2-alpha]pyrazin-2(1H)-yl}-4-phenylbutanoic acid)",Impurity
1813,12563,1000521,Acarbose (200 mg) (COLD SHIPMENT REQUIRED),Product Specific Reference Standard
1814,9830,1672337,Torsemide Related Compound C (30 mg) (N-[(ethylamino)carbonyl]-4-[(3-methylphenyl)amino]-3-pyridinesulfonamide),Impurity
1815,10701,1533002,Phenylephrine Hydrochloride (200 mg),Active Pharmaceutical Ingredients
1816,3167,1283415,Fosinopril Related Compound A (25 mg) ((4S)-4-cyclohexyl-[(4-phenylbutyl)phosphinyl]acetyl-L-proline),Impurity
1817,3099,1283426,"Fosinopril Related Compound B (25 mg) ((4S)-4-Cyclohexyl-1-[(R)-[(S)-1-hydroxy-2-methylpropoxy](4-phenylbutyl)phosphinyl]acetyl-D-proline propionate (ester), hemibarium salt, sesquihydrate)",Impurity
1818,16542,1559618,Pregabalin CV (200 mg),Active Pharmaceutical Ingredients
1819,16753,1559629,Pregabalin Related Compound A (25 mg) ((R)-3-(Aminomethyl)-5-methylhexanoic acid),Impurity
1820,8863,1598303,Ramipril (125 mg),Active Pharmaceutical Ingredients
1821,11575,1598347,Ramipril Related Compound D (20 mg) (Ramipril Diketopiperazine),Impurity
1822,14418,1091221,Captopril Disulfide (100 mg),Impurity
1823,9456,1494895,Pantoprazole Sodium (250 mg),Active Pharmaceutical Ingredients
1824,11725,1269957,Fentanyl Related Compound E CII (10 mg) (N-Phenyl-1-(2-phenylethyl)-4-piperidinamine),Impurity
1825,8583,1012101,Adenine (200 mg),Dietary Supplements
1826,10709,1556008,Prednisolone Acetate (200 mg),Active Pharmaceutical Ingredients
1827,8697,1570304,Propafenone Hydrochloride (200 mg),Active Pharmaceutical Ingredients
1828,9701,1093023,"Carbamazepine Related Compound B (50 mg) (5H-Dibenz[b,f]azepine)",Impurity
1829,14574,1235274,Enalaprilat (300 mg),Active Pharmaceutical Ingredients
1830,9212,1292336,"Glimepiride Related Compound C (20 mg) ((Methyl ({4-[2-(3-ethyl-4-methyl-2-oxo-2,5-dihydro-1H-pyrrole-1-carboxamido)ethyl]phenyl}sulfonyl)carbamate)",Impurity
1831,43077,1488019,"Oxymorphone Related Compound A CII (25 mg) (4,5alpha-Epoxy-3,14-dihydroxy-17-methylmorphinan-6-one N-oxide)",Impurity
1832,5916,1642904,Tagatose (200 mg),Excipients
1833,10323,1708784,Valsartan Related Compound B (10 mg) (N-butyryl-N-{[2'-(1H-tetrazole-5-yl)-biphenyl-4-yl]methyl}-L-valine),Impurity
1834,10497,1674004,Tretinoin (5 X 30 mg),Active Pharmaceutical Ingredients
1835,9339,1048620,"Benazepril Related Compound A (25 mg) ((3R)-3-[[(1R)-1-(ethoxycarbonyl)-3-phenylpropyl]amino]-2,3,4,5-tetrahydro-2-oxo-1H-1-benzazepine-1-acetic acid, monohydrochloride)",Impurity
1836,9246,1048641,"Benazepril Related Compound C (50 mg) ((3S)-3-[[(1S)-1-carboxy-3-phenylpropyl]amino-2,3,4,5-tetrahydro-2-oxo-1H-1-benzazepine]-1-acetic acid)",Impurity
1837,11759,1044491,Atomoxetine Related Compound C (10 mg) (N-methyl-3-phenyl-3-(p-tolyloxy)propan-1-amine hydrochloride),Impurity
1838,14004,1180503,Dextromethorphan (500 mg),Active Pharmaceutical Ingredients
1839,14435,1269334,Felbamate Related Compound B (25 mg) (Phenethyl carbamate),Impurity
1840,14025,1046202,Azelastine Related Compound E (20 mg) (3-(4-chlorobenzylidene)isobenzofuran-1(3H)-one),Impurity
1841,10461,1044662,"Atovaquone Related Compound A (25 mg) (cis-2-[4-(4-Chlorophenyl)cyclohexyl]-3-hydroxy-1,4-naphthoquinone)",Impurity
1842,15098,1098062,Cefprozil (200 mg),Active Pharmaceutical Ingredients
1843,4360,1006801,Acetone (1.5 mL/ampule; 3 ampules),General Chapters
1844,6446,1392705,Mesalamine (200 mg),Active Pharmaceutical Ingredients
1845,6111,1651621,Delta-9-Tetrahydrocannabinol 1 mL (1 mg/mL),Active Pharmaceutical Ingredients
1846,10895,1090014,Exo-tetrahydrocannabinol (1 mL),Impurity
1847,17010,1646010,"Testosterone Related Compound A CIII (20 mg) (Androst-4-ene-3,17-dione)",Impurity
1848,15849,1269083,"Exemestane Related Compound C CIII (15 mg) (androsta-1,4-diene-3,17-dione)",Impurity
1849,6935,1296009,Glycopyrrolate (200 mg),Active Pharmaceutical Ingredients
1850,18053,1296100,Glycopyrrolate Related Compound L (50 mg) (Methyl 2-cyclopentyl-2-hydroxy-2-phenylacetate),Impurity
1851,14389,1296010,"Glycopyrrolate Erythro Isomer (25 mg) ((RS)-3-[(RS)-2-cyclopentyl-2-hydroxy-2-phenylacetoxy]-1,1-dimethylpyrrolidinium bromide)",Impurity
1852,17313,1492244,"Palonosetron Related Compound C (15 mg) ((3aS)-2-[(3R)-Quinuclidin-3-yl]-2,3,3a,4,5,6-hexahydro-1H-benzo[de]isoquinolin-1-one hydrochloride)",Impurity
1853,74431,1643521,"Terbutaline Related Compound D (25 mg) (2-[Benzyl(tert-butyl)amino]-1-(3,5-dihydroxyphenyl)ethan-1-one) (COLD SHIPMENT REQUIRED)",Impurity
1854,9856,1448606,Moxifloxacin Hydrochloride (200 mg),Active Pharmaceutical Ingredients
1855,11741,1141002,Clotrimazole (200 mg),Active Pharmaceutical Ingredients
1856,15945,1012689,"Albuterol Related Compound E (10 mg) (2,2'-oxybis(methylene)bis{4-[2-(tert-butylamino)-1-hydroxyethyl]phenol} diacetate)",Impurity
1857,11590,1009005,Acetylcysteine (200 mg),Active Pharmaceutical Ingredients
1858,13815,1229922,Dutasteride (200 mg),Active Pharmaceutical Ingredients
1859,8432,1118000,Chloroquine Phosphate (500 mg),Active Pharmaceutical Ingredients
1860,16308,1118328,"Chloroquine Related Compound A (15 mg) (4,7-dichloroquinoline)",Impurity
1861,18056,1118394,"Chloroquine Related Compound G (15 mg) (4-((7-chloroquinolin-4-yl)amino)-N,N-diethylpentan-1-amine oxide sulfate)",Impurity
1862,12536,1479315,"Oseltamivir Related Compound A (10 mg) ((3S,4R,5S)-ethyl 4-acetamido-5-amino-2-azido-3-(pentan-3-yloxy)cyclohexanecarboxylate)",Impurity
1863,17539,1161032,"Cyproheptadine Related Compound C (25 mg) (5-(1-methyl-piperidin-4-yl)-5H-dibenzo[a,d]cyclohepten-5-ol)",Impurity
1864,11986,1225511,"Doxepin Related Compound A (50 mg) (dibenzo[b,e]oxepin-11(6H)-one)",Impurity
1865,60588,1076454,Brimonidine Related Compound E (15 mg)  (2-(5-Bromoquinoxalin-6-yl)guanidine dihydrochloride),Impurity
1866,16425,1211254,"2,3-Dimethylaniline (50 mg)",Impurity
1867,14042,1200000,Digoxin (250 mg),Dietary Supplements
1868,14890,1359958,Levocetirizine Amide (75 mg),Impurity
1869,34169,1112311,Chlorobenzhydryl Piperazine (75 mg),Impurity
1870,17650,1411016,"Methimazole Related Compound A (3 x 50 mg) (2,2-Dimethoxy-N-methylethanamine)",Impurity
1871,15847,1356563,Ketoprofen Related Compound D (20 mg) (3-acetylbenzophenone),Impurity
1872,10462,1173304,Desonide (250 mg),Active Pharmaceutical Ingredients
1873,46463,1727097,"Zolmitriptan Related Compound H (50 mg) (4,4-Diethoxy-N,N-dimethylbutan-1-amine)",Impurity
1874,14906,1727064,"Zolmitriptan Related Compound E (25 mg) ((S)-N,N-dimethyl-2-{5-[(2-oxooxazolidin-4-yl)methyl]-1H-indol-3-yl}ethanamine oxide)",Impurity
1875,13634,1672712,"Trandolapril Related Compound D (25 mg) ((S)-ethyl 2-[(3S, 5aS, 9aR, 10aS)-3-methyl-1,4-dioxodecahydropyrazino[1,2-a]indol-2(1H)-yl]-4-phenylbutanoate)",Impurity
1876,11318,1182000,Diacetylfluorescein (200 mg),Impurity
1877,10995,1511000,Perphenazine (200 mg),Active Pharmaceutical Ingredients
1878,6555,1270821,"Flecainide Related Compound A (75 mg) (3-[2,5-Bis(2,2,2-trifluoroethoxy)phenyl]-1,5,6,7,8,8alpha-hexahydroimidazo-[1,5alpha]pyridine hydrochloride)",Impurity
1879,10876,1535507,Phenytoin Sodium (200 mg),Active Pharmaceutical Ingredients
1880,13708,1357475,Latanoprost (50 mg),Active Pharmaceutical Ingredients
1881,17986,1357486,"Latanoprost Related Compound A (50 mg) (Isopropyl (E)-7-[(1R,2R,3R,5S)-3,5-dihydroxy-2-[(3R)-3-hydroxy-5-phenylpentyl]cyclopentyl]-5-heptenoate)",Impurity
1882,3083,1478119,"Ofloxacin Related Compound A (25 mg) (9-Fluoro-3-methyl-7-oxo-10-(piperazin-1-yl)-2,3-dihydro-7H-pyrido[1,2,3-de]-1,4-benzoxazine-6-carboxylic acid)",Impurity
1883,14432,1078529,"Bupivacaine Related Compound B (50 mg) N-(2,6-Dimethylphenyl)piperidine-2-carboxamide Hydrochloride",Impurity
1884,13429,1602740,"Ribavirin Related Compound D (15 mg) (1H-1,2,4-triazole-3-carboxamide)",Impurity
1885,9471,1225204,Dopamine Hydrochloride (200 mg),Active Pharmaceutical Ingredients
1886,78037,1286162,Formoterol Related Compound G,Impurity
1887,7040,1034807,Anastrozole (200 mg),Active Pharmaceutical Ingredients
1888,12809,1260023,"Ethinyl Estradiol Related Compound B (20 mg) (19-Nor-17alpha-pregna-1,3,5(10),9(11)-tetraen-20-yne-3,17-diol monohydrate)",Impurity
1889,6741,1285760,Flurbiprofen Related Compound A (100 mg) (2-(4-Biphenylyl)propionic Acid),Impurity
1890,12718,1157046,Cyclophosphamide Related Compound D (25 mg) (3-[2-(2-chloroethylamino)ethylamino]propyl dihydrogen phosphate dihydrochloride),Impurity
1891,11333,1162002,Cytarabine (250 mg),Active Pharmaceutical Ingredients
1892,7334,1142108,Clozapine Resolution Mixture (30 mg),System Suitability
1893,17197,1687017,Trihexyphenidyl Related Compound A (20 mg) (1-Phenyl-3-(piperidin-1-yl)propan-1-one hydrochloride),Impurity
1894,17276,1478403,Olopatadine Hydrochloride (150 mg),Active Pharmaceutical Ingredients
1895,14965,1179333,Dexmedetomidine Hydrochloride (200 mg),Active Pharmaceutical Ingredients
1896,11803,1665003,Thiothixene (250 mg),Active Pharmaceutical Ingredients
1897,14416,1091108,Capsaicin (100 mg),Dietary Supplements
1898,1033,1374500,Maleic Acid (300 mg),Excipients
1899,16018,1712001,Vigabatrin (200 mg),Active Pharmaceutical Ingredients
1900,16489,1712045,Vigabatrin Related Compound E (30 mg) (2-(2-aminobut-3-enyl)malonic acid),Impurity
1901,12663,1725014,"Zonisamide Related Compound A (20 mg) (1,2-benzisoxazole-3-methanesulfonic acid sodium salt)",Impurity
1902,10105,1273808,Flumazenil (200 mg),Active Pharmaceutical Ingredients
1903,17424,1533261,"Phenylephrine Related Compound F (30 mg) ((R)-2-Methyl-1,2,3,4-tetrahydroisoquinoline-4,8-diol hydrochloride monohydrate)",Impurity
1904,15501,1533035,Phenylephrine Related Compound D (30 mg) ((R)-3-{2-[Benzyl(methyl)amino]-1-hydroxyethyl}phenol),Impurity
1905,16814,1177032,Dexamethasone Sodium Phosphate (500 mg),Active Pharmaceutical Ingredients
1906,16266,1448956,Mycophenolate Mofetil (200 mg),Active Pharmaceutical Ingredients
1907,17048,1265300,Ethyl 4-nitrobenzoate (40 mg),Impurity
1908,64903,1270480,Fingolimod Hydrochloride (300 mg),Active Pharmaceutical Ingredients
1909,11131,1581504,Pseudoephedrine Sulfate (200 mg) (List Chemical),Active Pharmaceutical Ingredients
1910,16275,1448027,"Morphine Related Compound B CII (20 mg) (2,2'-Bimorphine trihydrate)",Impurity
1911,8532,1482003,Oxandrolone CIII (50 mg),Active Pharmaceutical Ingredients
1912,14236,1086152,"Calcipotriene Related Compound C (15 mg) ((5E,7E,22E,24S)-24-Cyclopropyl-9,10-secochola-5,7,10(19),22-tetraene-1alpha,3beta,24-triol)",Impurity
1913,10458,1548101,Potassium Benzoate (1 g),Food Ingredients
1914,9347,1354207,Isradipine (200 mg),Active Pharmaceutical Ingredients
1915,11148,1563003,Probenecid (200 mg),Active Pharmaceutical Ingredients
1916,14274,1370713,"Loxapine Related Compound A (20 mg) (3-Chloro-11-(4-methylpiperazin-1-yl)dibenzo[b,f][1,4]oxazepine)",Impurity
1917,6037,1692516,"Trimethoprim Related Compound A (25 mg) (4-amino-5-(3,4,5-trimethoxybenzyl)pyrimidin-2-ol)",Impurity
1918,1202,1294036,rGlucagon (2 x 2.94 mg) (recombinant Glucagon (Human)) (COLD SHIPMENT REQUIRED),Product Specific Reference Standard
1919,14172,1293805,Glucagon Receptor Cell Line,Performance Standards
1920,7873,1453526,Naltrexone Related Compound A CII (30 mg) (N-(3-butenyl)-noroxymorphone Hydrochloride),Impurity
1921,12669,1699322,"Trospium Chloride Related Compound B (20 mg) ((1R,3r,5S)-8-azabicyclo[3.2.1]octan-3-yl hydroxydiphenylacetate hydrochloride)",Impurity
1922,65676,1450018,Nafcillin System Suitability Mixture,System Suitability
1923,11284,1087009,Calcium Pantothenate (300 mg) (Vitamin B5),Dietary Supplements
1924,11286,1071508,Biotin (200 mg),Dietary Supplements
1925,14054,1460725,"Nevirapine Related Compound A (15 mg) (5,11-dihydro-6H-11-ethyl-4-methyl-dipyrido[3,2-b:2',3'-e][1,4]diazepin-6-one)",Impurity
1926,7528,1191237,"Didanosine Related Compound B (25 mg) (2',3'-dideoxyadenosine)",Impurity
1927,9402,1227006,Doxylamine Succinate (300 mg),Active Pharmaceutical Ingredients
1928,8690,1672803,Transplatin (25 mg),Impurity
1929,13178,1614512,Sodium Phenylbutyrate (200 mg),Active Pharmaceutical Ingredients
1930,13456,1614523,Phenylbutyrate Related Compound A (25 mg) (4-oxo-4-phenylbutanoic acid),Impurity
1931,13644,1614534,Phenylbutyrate Related Compound C (25 mg) (4-cyclohexylbutanoic acid) (COLD SHIPMENT REQUIRED),Impurity
1932,9674,1457469,Naratriptan Hydrochloride (125 mg),Active Pharmaceutical Ingredients
1933,5186,1076385,"Brinzolamide Related Compound B (50 mg) ((R)-4-Amino-2-(3-methoxypropyl)-3,4-dihydro-2H-thieno[3,2-e][1,2]thiazine-6-sulfonamide 1,1-dioxide oxalate)",Impurity
1934,6771,1281001,Fluphenazine Enanthate Dihydrochloride (125 mg),Active Pharmaceutical Ingredients
1935,17185,1463348,Nicotine Related Compound C (20 mg) ((S)-1-methyl-5-(pyridin-3-yl)pyrrolidin-2-one),Impurity
1936,18029,1463371,Nicotine Related Compound F (20 mg) (3-(pyrrolidin-2-yl)pyridine),Impurity
1937,63238,1062019,Benzyl Chloride (3 x 200 mg) ((Chloromethyl)benzene),Impurity
1938,13103,1097680,Cefepime Related Compound D (20 mg) ((Z)-2-(2-aminothiazol-4-yl)-2-(methoxyimino)acetic acid),Impurity
1939,1665,1445211,"Mitoxantrone System Suitability Mixture (0.3 mg) (Mixture of 0.2 mg 1-Amino-5,8-dihydroxy-4-({2-[(2-hydroxyethyl)amino]ethyl}amino)anthracene-9,10-dione hydrochloride and 0.1 mg Mitoxantrone Hydrochloride)",System Suitability
1940,6452,1255500,Estropipate (500 mg),Active Pharmaceutical Ingredients
1941,14532,1011709,Adapalene (200 mg),Active Pharmaceutical Ingredients
1942,6338,1012906,Alfentanil Hydrochloride CII (500 mg),Active Pharmaceutical Ingredients
1943,98711,1012559,Albendazole Related Compound F,Impurity
1944,98725,1012554,Albendazole Related Compound A,Impurity
1945,1417,1457913,Nefazodone Related Compound A (25 mg) (1-(3-chlorophenyl)-4-(3-chloropropyl)-piperazine hydrochloride),Impurity
1946,2829,1457902,Nefazodone Hydrochloride (200 mg),Active Pharmaceutical Ingredients
1947,16798,1357147,Lacosamide  Related Compound D (30 mg) (2-Amino-N-benzyl-3-methoxypropanamide oxalate),Impurity
1948,13890,1135021,Clidinium Bromide Related Compound A (250 mg) (3-Hydroxy-1-methylquinuclindinium Bromide),Impurity
1949,13889,1135000,Clidinium Bromide (500 mg),Active Pharmaceutical Ingredients
1950,11107,1561507,Primaquine Phosphate (200 mg),Active Pharmaceutical Ingredients
1951,6977,1188006,Dichlorphenamide (200 mg),Active Pharmaceutical Ingredients
1952,10794,1711461,Verteporfin (200 mg),Active Pharmaceutical Ingredients
1953,6222,1286209,Mafenide Related Compound A (50 mg) (4-Formylbenzenesulfonamide),Impurity
1954,6589,1373008,Mafenide Acetate (200 mg),Active Pharmaceutical Ingredients
1955,10697,1530004,Phentolamine Mesylate (200 mg),Active Pharmaceutical Ingredients
1956,76118,1069084,Betamethasone Valerate Related Compound H,Impurity
1957,13325,1282730,"Fondaparinux Sodium System Suitability Mixture B (2.5 mg) (A mixture containing fondaparinux sodium and fondaparinux related compound A, B, C, D, E, F, and G)",Product Specific Reference Standard
1958,12626,1568040,Proguanil Hydrochloride (200 mg),Active Pharmaceutical Ingredients
1959,97538,1280804,Fluphenazine Decanoate N4-oxide,Impurity
1960,14770,1086822,Calcium Gluconate Anhydrous (200 mg),Dietary Supplements
1961,9460,1411504,L-Methionine (200 mg),Dietary Supplements
1962,6588,1372005,L-Lysine Hydrochloride (200 mg),Dietary Supplements
1963,78118,1199308,Diglycine (50 mg) (glycylglycine),Dietary Supplements
1964,10765,1444707,Mitomycin (50 mg),Active Pharmaceutical Ingredients
1965,13269,1249916,"Estazolam Related Compound A (10 mg) (5-Chloro-2-(3-chloromethyl-4H-1,2,4-triazol-4-yl)-benzophenone)",Impurity
1966,9415,1375502,Mebendazole (200 mg),Active Pharmaceutical Ingredients
1967,16412,1457629,Nateglinide Related Compound B (10 mg) (N-(trans-4-isopropylcyclohexanecarbonyl)-L-phenylalanine),Impurity
1968,12658,1672905,Tranylcypromine Sulfate (125 mg),Active Pharmaceutical Ingredients
1969,11121,1672927,Tranylcypromine Related Compound B (40 mg) ((E)-3-Phenylallylamine hydrochloride),Impurity
1970,10352,1724689,Zileuton Related Compound C (50 mg) (1-(Benzo[b]thiophen-2-yl)ethan-1-one),Impurity
1971,6881,1356009,Ketamine Hydrochloride CIII (250 mg),Active Pharmaceutical Ingredients
1972,9451,1362500,Levonordefrin (200 mg),Active Pharmaceutical Ingredients
1973,65526,1096021,Carbinoxamine Related Compound B (25 mg) ((4-Chlorophenyl)(pyridin-2-yl)methanol),Impurity
1974,9462,1285851,Flutamide (200 mg),Active Pharmaceutical Ingredients
1975,9463,1285862,o-Flutamide (50 mg),Impurity
1976,17400,1672723,"Trandolapril Related Compound E (25 mg) ((2S,3aR,7aS)-1-[N-[(S)-1-Carboxy-3-phenylpropyl]-L-alanyl]hexahydro-2-indolinecarboxylic acid)",Impurity
1977,13253,1606412,"Rufinamide Related Compound A (25 mg) (1-(2-Fluorobenzyl)-1H-1,2,3-triazole-4-carboxamide)",Impurity
1978,5777,1379060,Mefloquine Related Compound A (20 mg) (threo-mefloquine),Impurity
1979,9576,1374306,Magnesium Salicylate (200 mg),Active Pharmaceutical Ingredients
1980,11519,1107300,Chloramphenicol Palmitate (200 mg),Active Pharmaceutical Ingredients
1981,15142,1445620,"Moexipril Related Compound C (20 mg) ((S)-tert-butyl 2-{(S)-2-[(S)-1-ethoxy-1-oxo-4-phenylbutan-2-ylamino]propanoyl}-6,7-dimethoxy-1,2,3,4-tetrahydroisoquinoline-3-carboxylate, maleate)",Impurity
1982,9644,1349025,"Isoflurane Related Compound B (0.1 mL) (2,2,2-Trifluoroethyl difluoromethyl ether)",Impurity
1983,9197,1355006,Kanamycin Sulfate (200 mg),Active Pharmaceutical Ingredients
1984,11955,1082300,Butoconazole Nitrate (200 mg),Active Pharmaceutical Ingredients
1985,12162,1711166,"Vecuronium Bromide Related Compound A (25 mg) (3alpha,17Beta-diacetyl-oxy-2Beta, 16Beta-bispiperidinyl-5alpha-androstan)",Impurity
1986,11678,1335701,Idarubicin Hydrochloride (50 mg),Active Pharmaceutical Ingredients
1987,19482,1025737,"Aminolevulinic Acid Related Compound B (25 mg) (Methyl 5-(1,3-dioxoisoindolin-2-yl)-4-oxopentanoate)",Impurity
1988,14484,1019202,Amcinonide (200 mg),Active Pharmaceutical Ingredients
1989,9642,1670207,Tolcapone (200 mg),Active Pharmaceutical Ingredients
1990,6448,1261004,Ethionamide (200 mg),Active Pharmaceutical Ingredients
1991,1857,1673001,Travoprost (3 mL) (COLD SHIPMENT REQUIRED),Active Pharmaceutical Ingredients
1992,15995,1369431,Lomustine Related Compound B (25 mg) (1-(2-Chloroethyl)-3-cyclohexylurea),Impurity
1993,85360,1050993,Benzalkonium Chloride (5 mL of approx. 4% aqueous solution),Excipients
1994,60625,1500659,"Pemetrexed Disodium (100 mg) (Disodium N-{p-[2-(2-amino-4,7-dihydro-4-oxo-1H-pyrrolo[2,3-d]pyrimidin-5-yl)ethyl]benzoyl}-l-glutamate heptahydrate)",Active Pharmaceutical Ingredients
1995,11951,1267000,Ethylparaben (200 mg),Excipients
1996,9580,1076352,Bretylium Tosylate (200 mg),Active Pharmaceutical Ingredients
1997,6294,1412008,Methocarbamol (200 mg),Active Pharmaceutical Ingredients
1998,6837,1365000,Levothyroxine (500 mg),Active Pharmaceutical Ingredients
1999,17318,1366080,"Lidocaine Related Compound H (50 mg) (2-Chloro-N-(2,6-dimethylphenyl)acetamide)",Impurity
2000,2612,1561019,Prilocaine Related Compound A (100 mg) (o-toluidine hydrochloride),Impurity
2001,14629,1500284,"Paroxetine Related Compound G (10 mg) ((+/-)trans-3-[(1,3-benzodioxol-5-yloxy)methyl]-4-(4''-fluorophenyl-4'-phenyl)piperidine hydrochloride)",Impurity
2002,8527,1465004,Nitrofurazone (200 mg),Active Pharmaceutical Ingredients
2003,10384,1044549,"Atorvastatin Related Compound C (20 mg) (Calcium (3R,5R)-7-[2,3-Bis(4-fluorophenyl)-5-isopropyl-4-(phenylcarbamoyl)-1H-pyrrol-1-yl]-3,5-dihydroxyheptanoate (1:2))",Impurity
2004,9499,1044538,"Atorvastatin Related Compound B (20 mg) (Calcium (3S,5R)-7-[2-(4-Fluorophenyl)-5-isopropyl-3-phenyl-4-(phenylcarbamoyl)-1H-pyrrol-1-yl]-3,5-dihydroxyheptanoate (1:2))",Impurity
2005,12264,1029512,"Amlodipine Related Compound A (25 mg) (3-Ethyl 5-methyl [2-(2-aminoethoxymethyl)-4-(2-chlorophenyl)-6-methyl-3,5-pyridinedicarboxylate] fumarate)",Impurity
2006,10561,1672210,"Topiramate Related Compound A (25 mg) (2,3:4,5-Bis-O-(1-methylethylidene)-beta-D-fructopyranose)",Impurity
2007,10969,1633506,Sulfanilic Acid (200 mg) (4-Aminobenzenesulfonic acid),Impurity
2008,10962,1623502,Succinylcholine Chloride (500 mg),Active Pharmaceutical Ingredients
2009,9098,1225419,Doxazosin Mesylate (200 mg),Active Pharmaceutical Ingredients
2010,1762,1225452,"Doxazosin Related Compound C (20 mg) (2-chloro-4-amino-6,7-dimethoxyquinazoline)",Impurity
2011,10271,1335541,Ibuprofen Related Compound C (0.2 mL/ampule; 3 ampules) (4-isobutylacetophenone),Impurity
2012,6261,1335508,Ibuprofen (750 mg),Active Pharmaceutical Ingredients
2013,6140,1271700,Fluconazole (200 mg),Active Pharmaceutical Ingredients
2014,88963,1379332,Melphalan Related Compound B,Impurity
2015,12120,1559006,Prednisone (250 mg),Active Pharmaceutical Ingredients
2016,11650,1067704,Betamethasone Dipropionate (125 mg),Active Pharmaceutical Ingredients
2017,14528,1066009,Betamethasone (200 mg),Active Pharmaceutical Ingredients
2018,14466,1176506,Dexamethasone Acetate (200 mg),Active Pharmaceutical Ingredients
2019,10474,1435003,Methylprednisolone (200 mg),Active Pharmaceutical Ingredients
2020,11328,1719000,Warfarin (200 mg),Active Pharmaceutical Ingredients
2021,97874,1078562,Buspirone Open Ring,Impurity
2022,17620,1078813,"Buspirone Related Compound G (50 mg) (1,4-Di(pyrimidin-2-yl)piperazine)",Impurity
2023,18019,1078824,"Buspirone Related Compound L (75 mg x 2) (8-(4-Chlorobutyl)-8-azaspiro[4.5]decane-7,9-dione)",Impurity
2024,39153,1078573,Buspirone Related Compound A (2 x 75 mg) (2-(Piperazin-1-yl)pyrimidine),Impurity
2025,16222,1234114,"Efavirenz Racemic (20 mg) (6-Chloro-4-(cyclopropylethynyl)-4-(trifluoromethyl)-2H-3,1-benzoxazin-2-one)",Impurity
2026,13096,1234147,"Efavirenz Related Compound B (10 mg) ((S,E)-6-Chloro-4-(2-Cyclopropylvinyl)-4-(trifluoromethyl)-2H-3,1-benzoxazin-2-one)",Impurity
2027,8481,1551150,Potassium Sucrose Octasulfate (300 mg),Active Pharmaceutical Ingredients
2028,6876,1242032,Erythromycin Related Compound N (50 mg) (N-Demethylerythromycin A),Impurity
2029,15485,1140269,"Clomipramine Related Compound C (15 mg) (3-(3-Chloro-5H-dibenzo[b,f]azepin-5-yl)-N,N-dimethylpropan-1-amine hydrochloride, monohydrate)",Impurity
2030,17232,1140292,"Clomipramine Related Compound F (15 mg) (3-Chloro-10,11-dihydro-5H-dibenzo[b,f]azepine)",Impurity
2031,6447,1260001,Ethinyl Estradiol (150 mg),Active Pharmaceutical Ingredients
2032,8399,1379401,Meloxicam (400 mg),Active Pharmaceutical Ingredients
2033,8400,1379412,"Meloxicam Related Compound A (25 mg) (ethyl-4-hydroxy-2-methyl-2H-1,2-benzothiazine-3-carboxylate- 1,1-dioxide)",Impurity
2034,14525,1013002,Allopurinol (250 mg),Active Pharmaceutical Ingredients
2035,16055,1013046,Allopurinol Related Compound D (35 mg) (Ethyl 5-amino-1H-pyrazole-4-carboxylate),Impurity
2036,14566,1013024,Allopurinol Related Compound A (25 mg) (3-Amino-4-carboxamidopyrazole Hemisulfate),Impurity
2037,5208,1013068,Allopurinol Related Compound E (25 mg) (ethyl 5-(formylamino)-1H-pyrazole-4-carboxylate),Impurity
2038,19495,1619028,"Spironolactone Related Compound B (30 mg) ((2'R)-7alpha-(Acetylthio)-5'H-spiro[androst-4-ene-17,2'-furan]-3,5'-dione)",Impurity
2039,6838,1478571,Ondansetron (300 mg),Active Pharmaceutical Ingredients
2040,11331,1134379,Clarithromycin (100 mg),Active Pharmaceutical Ingredients
2041,12272,1356836,Lamivudine (200 mg),Active Pharmaceutical Ingredients
2042,12151,1031536,"Amoxicillin Related Compound C (15 mg) ((4S)-2-[5-(4-hydroxyphenyl)-3,6-dioxopiperazin-2-yl]-5,5-dimethylthiazolidine-4-carboxylic acid)",Impurity
2043,1834,1554192,"Pravastatin 1,1,3,3-Tetramethylbutylamine (200 mg)",Impurity
